Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,LogGDPperCapita,Population,LogPopulation
Djibouti,66.4,69.0,69.0,71.3,843657.0,51.0,5947.861,6668759596.783,3.774360810616837,1121203.0,6.049684251130437
Dominican Republic,74.0,77.2,77.2,86.4,9950299.0,238.0,21912.26,243739577900.84,4.3406871723992175,11123434.0,7.046238882301928
Ecuador,77.8,80.5,80.5,66.0,12062680.0,74.0,13539.711,239414558706.978,4.131609394596928,17682398.0,7.247541161556412
Egypt,72.0,74.2,74.2,40.9,48427431.0,119.0,15579.016,1728600099361.2,4.1925400233451535,110956950.0,8.045154510282469
El Salvador,72.5,76.7,76.7,79.9,5085472.0,307.0,10809.714,67622727829.218,4.033814203679032,6255737.0,6.796278482083492
Equatorial Guinea,64.1,66.1,66.1,63.6,1232213.0,69.0,16821.45,29584758830.4,4.225863429027703,1758752.0,6.245204604309736
Estonia,79.5,83.3,83.3,66.9,899102.0,32.0,45063.543,60011075149.557,4.653825333967029,1331699.0,6.124406073624548
Eswatini,64.4,67.3,67.3,31.3,392638.0,73.0,9846.207,11879921363.436,3.9932689618463204,1206548.0,6.081544604090197
Ethiopia,67.9,71.3,71.3,22.5,30487323.0,135.0,2588.413,316144976971.781,3.413033572348627,122138537.0,8.086852713624213
Fiji,67.6,69.7,69.7,60.8,567088.0,51.0,10685.197,9794788848.793,4.0287825335402605,916669.0,5.962212544586056
Finland,82.2,84.9,84.9,86.7,4874169.0,19.0,57350.87,317782260336.53,4.7585400104383915,5541019.0,6.743589639346154
France,83.6,86.3,86.3,82.5,55018724.0,122.0,53901.11,3561973517575.0103,4.731597708821455,66083491.0,7.820092977441706
Gabon,68.7,71.4,71.4,83.7,2171202.0,10.0,18523.58,44024696208.72,4.267724925326052,2376684.0,6.3759714424857385
Gambia,66.3,68.0,68.0,61.3,1731095.0,279.0,2777.7961,7155505530.7365,3.443700363829668,2575965.0,6.410939957907444
Georgia,74.8,79.4,79.4,62.0,2358908.0,55.0,18915.654,71660063613.59999,4.27682136141946,3788400.0,6.578455827939842
Germany,81.7,84.0,84.0,76.5,64345635.0,241.0,62950.047,5268732035210.457,4.798996058698576,83697031.0,7.922710052459372
Ghana,65.9,68.4,68.4,58.6,20539206.0,154.0,6607.503,214866793308.32098,3.820037368986215,32518607.0,7.512131933441997
Greece,82.2,84.6,84.6,89.5,8897137.0,77.0,33577.51,355233636397.61005,4.526048487116048,10579511.0,7.024465594456294
Grenada,75.5,78.6,78.6,35.5,41685.0,345.0,15298.123,1784449557.335,4.184638148415697,116645.0,5.066866127450825
Guatemala,72.9,75.2,75.2,56.6,10568383.0,174.0,11828.33,208162024681.34,4.0729234324570385,17598598.0,7.245478070932538
Guinea,61.1,62.3,62.3,40.3,6082701.0,61.0,3738.8052,51260776530.444,3.572732838042967,13710470.0,7.137052342820718
Guinea-Bissau,64.4,66.7,66.7,46.2,1038474.0,80.0,2450.978,5046061251.51,3.389339413038499,2058795.0,6.313613104849627
Guyana,70.4,74.2,74.2,26.6,222762.0,4.0,22865.932,18645909919.74,4.359188907628273,815445.0,5.911394674141442
Haiti,65.3,68.7,68.7,61.7,7343428.0,432.0,3134.9502,35658635257.6092,3.4962306462713664,11374546.0,7.055934071383689
Honduras,73.2,75.9,75.9,58.3,6421078.0,98.0,6202.981,63827613780.249,3.792600450904158,10289829.0,7.012408157563844
Hong Kong,85.8,88.4,88.4,0.0,0.0,136.16265060240963,65884.94,493118930022.18,4.8187861547707564,7484547.0,6.874165519929057
Hungary,77.3,80.5,80.5,72.0,6937818.0,106.0,38648.0,375186822512.0,4.587127024478463,9707794.0,6.987120552001421
Iceland,83.2,84.6,84.6,84.0,334395.0,4.0,62032.27,23113037705.19,4.7926176739657995,372597.0,5.571239353811188
India,72.5,74.1,74.1,37.1,542742539.0,492.0,8050.0186,11384367216191.424,3.9057968838297357,1414203840.0,9.150512012153156
Indonesia,71.4,73.6,73.6,59.6,170361295.0,158.0,12757.074,3530622413662.74,4.105751074747691,276758010.0,8.442100199192888
Iran,78.1,80.0,80.0,73.3,67760281.0,57.0,14951.895,1322576495914.485,4.174696238539267,88455443.0,7.946724561860041
Iraq,72.5,74.3,74.3,72.4,34038857.0,108.0,12731.754,548371439078.148,4.104888238692707,43071162.0,7.634186588581279
Ireland,82.7,84.7,84.7,62.1,3294830.0,77.0,118102.766,593866413218.442,5.072260069031549,5028387.0,6.701428694928134
Israel,82.8,84.8,84.8,91.4,8698204.0,440.0,46238.223,413502324843.56396,4.665001135184884,8942868.0,6.951476820454329
Italy,84.0,86.0,86.0,72.0,42568771.0,201.0,50465.086,3014244261219.8003,4.702991017692176,59729300.0,7.776187425044766
Jamaica,71.7,74.3,74.3,60.2,1706544.0,262.0,9577.164,27176486189.976,3.9812369243715726,2837634.0,6.452956379130338
Japan,85.0,88.0,88.0,93.1,114645589.0,338.0,44549.34,5598929332069.92,4.648841274332909,125679288.0,8.099263711667922
Jordan,78.1,80.5,80.5,85.1,9802267.0,130.0,9182.496,101616347309.76,3.9629607478337423,11066310.0,7.044002831918587
Kazakhstan,74.7,78.6,78.6,55.1,11494249.0,8.0,32945.85,650468530955.25,4.517800716787108,19743565.0,7.295425573867492
Kenya,64.0,66.3,66.3,31.9,18371967.0,101.0,5338.8525,284129042537.505,3.727447922483501,53219122.0,7.726067705358164
Kiribati,66.7,68.5,68.5,57.3,78192.0,169.0,3049.4739,391387777.1694,3.484224920646832,128346.0,5.108382338102923
Kuwait,80.8,82.1,82.1,91.6,4602914.0,282.0,50689.043,221039861877.229,4.704914091899224,4360703.0,6.639556508628594
Kyrgyzstan,72.0,75.6,75.6,35.3,2573712.0,38.0,5736.479,39125270675.407005,3.758645408066192,6820433.0,6.83381194702324
